id,text,PretMediu,PretMinim,PretMaxim,MetriPartrati,PretMetru
5,"Timisoara, zona Complex Studentesc",70703.9009,19000,267000,45.812912903748476,1357.142857142857
13,"Timisoara, zona Lipovei",82881.2829,24000,225000,55.762529901299345,1373.076923076923
15,"Timisoara, zona Aradului",90176.0482,19500,200000,59.32556624125285,1261.1940298507463
23,"Timisoara, zona Torontalului",95762.8012,50000,265000,60.6053789032172,1835.5917398534907
30,"Timisoara, zona Iosefin",93910.0284,25800,310000,68.90418427379419,1580.0
169,"Timisoara, zona Dorobantilor",98075.1446,24999,259990,75.38445782948689,1373.2394366197184
207,"Timisoara, zona Blascovici",43942.9889,25000,105000,31.544444444444444,1333.3333333333333
269,"Timisoara, zona Fabric",89971.3208,30000,165000,70.76735859996867,1239.655172413793
271,"Timisoara, zona Cetatii",81123.875,41000,125000,54.84625005722046,1385.7142857142858
371,"Timisoara, zona Elisabetin",104237.2222,35000,299000,77.89527765909831,1562.5
694,"Timisoara, zona Telegrafului",55396.5625,32000,99500,37.0625,1727.2727272727273
